version,ultima_actualizacion,codigo,familia,validacion,mensaje
0.3.0,02/12/2024,FEL_RCP341,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del impuesto Turismo Pasaje no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP342,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”.,Total de Impuestos calculado incorrectamente para Timbre de Prensa.
0.3.0,02/12/2024,FEL_RCP343,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del Timbre de Prensa no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP344,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”.,Total de Impuestos calculado incorrectamente para Bomberos.
0.3.0,02/12/2024,FEL_RCP345,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del impuesto Bomberos no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP346,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”,Total de Impuestos calculado incorrectamente para Tasa Municipal.
0.3.0,02/12/2024,FEL_RCP347,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total de la Tasa Municipal no puede ser mayor a la del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP348,FEL_RCP,"El contenido de esta casilla es diferente al resultado de la casilla Precio menos la casilla Descuento más la sumatoria de las casillas MontoImpuesto de los impuestos que sean sumables al DTE (excepto el IVA por estar ya incluido), según se indica en cada caso por impuesto.",Total calculado incorrectamente.
0.3.0,02/12/2024,FEL_RCP349,FEL_RCP,El contenido de esta casilla es diferente a la sumatoria de las casillas Total,Gran Total calculado incorrectamente.
0.3.0,02/12/2024,FEL_RCP350,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El Gran Total no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP351,FEL_RCP,No se incluye la casilla Régimen antiguo y el contenido de la presente casilla no coincide con ningún DTE registrado en la SAT.,El número de Autorización del Documento Origen no coincide con ningún DTE registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP352,FEL_RCP,"No se incluye la casilla Régimen antiguo, el contenido de la presente casilla coincide con un DTE registrado en la SAT y el valor de la casilla Tipo de DTE del documento origen es diferente de: FACT, FCAM.",El número de Autorización del Documento Origen corresponde a un documento diferente a factura.
0.3.0,02/12/2024,FEL_RCP353,FEL_RCP,"Se incluye la casilla Régimen antiguo, el contenido de la presente casilla coincide con un Número de Resolución de Autorización registrado en la SAT y el valor de la casilla Código Tipo de esa Resolución es diferente de: 1, 2, 7, 8, 9, 30, 32, 37, 38, 53, 57, 60, 62, 63, 66, 67, 68, 69, 72.",El número de Autorización del Documento Origen corresponde a un documento diferente a factura.
0.3.0,02/12/2024,FEL_RCP354,FEL_RCP,"No se incluye la casilla Régimen antiguo, el contenido de la presente casilla coincide con un DTE registrado en la SAT y el valor de la casilla NIT del Emisor no coincide con el que aparece registrado en la SAT para ese mismo documento origen.",El valor de la casilla NIT del Emisor no coincide con el registrado en el Documento Origen.
0.3.0,02/12/2024,FEL_RCP355,FEL_RCP,"No se incluye la casilla Régimen antiguo, el contenido de la presente casilla coincide con un DTE registrado en la SAT y el valor de la casilla ID del Receptor no coincide con el que aparece registrado en la SAT para ese mismo documento origen.",El valor de la casilla ID del Receptor no coincide con el registrado en el Documento Origen.
0.3.0,02/12/2024,FEL_RCP356,FEL_RCP,"No se incluye la casilla Régimen antiguo, el contenido de la presente casilla coincide con un DTE registrado en la SAT y el valor de la casilla NIT del Certificador no coincide con el que aparece registrado en la SAT para ese mismo documento origen.",El valor de la casilla NIT del Certificador no coincide con el registrado en el Documento Origen.
0.3.0,02/12/2024,FEL_RCP357,FEL_RCP,Se incluye la casilla Régimen antiguo y el contenido de la presente casilla no coincide con ningún Número de Resolución de Autorización registrado en la SAT.,El número de Autorización del Documento Origen no existe en la SAT
0.3.0,02/12/2024,FEL_RCP358,FEL_RCP,No se incluye la casilla Régimen antiguo y el contenido de la presente casilla no coincide con la que aparece registrada en la SAT de acuerdo al valor de la casilla Número de Autorización del Documento Origen,La fecha de emisión del documento origen no coincide con la registrada en la SAT.
0.3.0,02/12/2024,FEL_RCP359,FEL_RCP,Se incluye la casilla Régimen antiguo y el contenido de la casilla es diferente a la serie que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Documento Origen.,La serie del documento origen no coincide con la registrada en la SAT para esa Resolución de Autorización.
0.3.0,02/12/2024,FEL_RCP360,FEL_RCP,"Se incluye la casilla Régimen antiguo y el contenido de la casilla no se encuentra dentro del rango que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El número del documento origen no se encuentra dentro del rango registrado en la SAT para esa Resolución de Autorización.
0.3.0,02/12/2024,FEL_RCP361,FEL_RCP,La firma electrónica avanzada del Emisor no corresponde al DTE,La firma del Emisor es errónea.
0.3.0,02/12/2024,FEL_RCP362,FEL_RCP,El contenido de la casilla no coincide con el NIT del CERTIFICADOR que envió este DTE,El NIT del CERTIFICADOR no coincide con el NIT del usuario.
0.3.0,02/12/2024,FEL_RCP364,FEL_RCP,La firma electrónica avanzada del CERTIFICADOR no corresponde al DTE,La firma del CERTIFICADOR es errónea.
0.3.0,02/12/2024,FEL_RCP365,FEL_RCP,"El contenido de la casilla coincide con UUID enviado anteriormente por el Certificador, dentro del mismo día calendario con respecto a la fecha de certificación.",El número de autorización no puede repetirse.
0.3.0,02/12/2024,FEL_RCP366,FEL_RCP,El contenido de la casilla no coincide con los primeros 8 caracteres de izquierda a derecha del contenido de la casilla Numero de Autorización.,La serie del DTE no corresponde al número de autorización.
0.3.0,02/12/2024,FEL_RCP367,FEL_RCP,"El contenido de la casilla no coincide con el equivalente en números decimales de los caracteres a partir de la posición 9 hasta la posición 16 (excluyendo los guiones -), de izquierda a derecha, del contenido de la casilla Numero de Autorización.",El número del DTE es incorrecto.
0.3.0,02/12/2024,FEL_RCP379,FEL_RCP,El NIT no está activo en el Registro de Emisores FEL.,El NIT no corresponde a un Emisor Activo del Régimen FEL.
0.3.0,02/12/2024,FEL_RCP383,FEL_RCP,"El tipo de documento es “NCRE” o “NDEB” “CIVA”,”CAIS” y la moneda es diferente a la moneda del documento referenciado según la casilla Numero Autorizacion Documento Origen en el complemento Referencias a las notas de crédito o débito incluido.",Error. El documento que desea emitir debe contener la misma moneda del DTE origen.
